# Constructed from biom file
#OTU ID	BlankpcrCES	C_Aviemore_LB_1	C_Aviemore_LB_2	C_Aviemore_TY_1	C_Aviemore_TY_2	C_Aviemore_YMA_1	C_Aviemore_YMA_2	C_BruceH_LB_2	C_BruceH_TY_1	C_BruceH_TY_2	C_BruceH_YMA_1	C_BruceH_YMA_2	C_Cedarvale_LB_1	C_Cedarvale_LB_2	C_Cedarvale_TY_1	C_Cedarvale_TY_2	C_Cedarvale_YMA_1	C_Cedarvale_YMA_2	C_Grenadier_LB_1	C_Grenadier_LB_2	C_Grenadier_TY_1	C_Grenadier_TY_2	C_Grenadier_YMA_1	C_Grenadier_YMA_2	C_Humber_LB_1	C_Humber_LB_2	C_Humber_TY_1	C_Humber_TY_2	C_Humber_YMA_1	C_Humber_YMA_2	C_KSR_LB_1	C_KSR_LB_2	C_KSR_TY_1	C_KSR_TY_2	C_KSR_YMA_1	C_KSR_YMA_2	C_Preston_LB_1	C_Preston_LB_2	C_Preston_TY_1	C_Preston_TY_2	C_Preston_YMA_1	C_Preston_YMA_2	C_Rouge_LB_1	C_Rouge_LB_2	C_Rouge_TY_1	C_Rouge_TY_2	C_Rouge_YMA_1	C_Rouge_YMA_2	C_Terracotta_LB_1	C_Terracotta_TY_1	C_Terracotta_TY_2	C_Terracotta_YMA_1	C_Terracotta_YMA_2	D_Aviemore_1_A	D_Aviemore_1_B	D_Aviemore_2_A	D_Aviemore_2_B	D_BruceH_1_A	D_BruceH_1_B	D_BruceH_2_A	D_BruceH_2_B	D_Cedarvale_1_A	D_Cedarvale_1_B	D_Cedarvale_2_A	D_Cedarvale_2_B	D_Cedarvale_3_A	D_Cedarvale_3_B	D_Grenadier_1_A	D_Grenadier_1_B	D_Grenadier_2_A	D_Grenadier_2_B	D_Grenadier_3_A	D_Grenadier_3_B	D_Humber_1_A	D_Humber_1_B	D_Humber_2_A	D_Humber_2_B	D_Humber_3_A	D_Humber_3_B	D_KSR_1_A	D_KSR_1_B	D_KSR_2_A	D_KSR_2_B	D_Preston_1_A	D_Preston_1_B	D_Preston_2_A	D_Preston_2_B	D_Rouge_1_A	D_Rouge_1_B	D_Rouge_2_A	D_Rouge_2_B	D_Terracotta_1_A	D_Terracotta_1_B	D_Terracotta_2_A	D_Terracotta_2_B
f6d492f78a47f2ed485a85c1e9923a5e	0.0	25718.0	20726.0	13753.0	7267.0	27322.0	16023.0	21916.0	11730.0	6055.0	20818.0	31014.0	60745.0	41294.0	39509.0	48673.0	54644.0	53261.0	8671.0	18824.0	2095.0	18723.0	12800.0	33229.0	15907.0	20938.0	2901.0	19898.0	3889.0	30344.0	45046.0	45344.0	25870.0	6603.0	61813.0	37375.0	30068.0	16113.0	36168.0	9562.0	23985.0	28696.0	37370.0	8302.0	46586.0	8490.0	58531.0	25156.0	6844.0	4156.0	2560.0	33119.0	7079.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	24.0	5.0	0.0	70.0	0.0	14.0	0.0	0.0	0.0	33.0	62.0	4.0	5.0	0.0	0.0	39.0	0.0	55.0	210.0	154.0	140.0	6.0	9.0	30.0	60.0	0.0	0.0	0.0	9.0	3.0	6.0	38.0	73.0
e048f12cb45f60c0a65970f47a923e80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	19120.0	46388.0	47225.0	49427.0	52410.0	54360.0	59699.0	45232.0	55042.0	49910.0	23669.0	52592.0	15117.0	22811.0	34252.0	38826.0	42719.0	27450.0	30185.0	7141.0	52458.0	36334.0	33845.0	32332.0	44057.0	36609.0	21806.0	7220.0	1872.0	1025.0	19390.0	7191.0	11705.0	1443.0	51937.0	34185.0	7878.0	8820.0	4964.0	3538.0	13987.0	376.0
c7835761bb993b96658a71951618275e	0.0	0.0	20.0	0.0	63.0	38.0	369.0	0.0	0.0	0.0	0.0	0.0	4.0	187.0	0.0	333.0	0.0	214.0	24.0	0.0	8034.0	342.0	111.0	0.0	0.0	369.0	44579.0	5679.0	11.0	36.0	0.0	0.0	0.0	1652.0	0.0	0.0	0.0	0.0	138.0	8095.0	4547.0	0.0	182.0	1614.0	4650.0	1122.0	88.0	176.0	245.0	41994.0	2201.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	7.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	5.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	8.0	0.0
15815e34044ef9745ded6ce692ffe09e	0.0	48689.0	991.0	19649.0	143.0	9084.0	308.0	909.0	1588.0	0.0	2376.0	1438.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1155.0	0.0	403.0	674.0	404.0	0.0	1653.0	285.0	939.0	0.0	1629.0	0.0	0.0	0.0	0.0	0.0	0.0	652.0	1316.0	629.0	491.0	370.0	1728.0	1053.0	173.0	797.0	0.0	904.0	390.0	232.0	497.0	0.0	754.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f64c65ca324f3a106f9d33e304a5e305	0.0	405.0	1360.0	21398.0	876.0	71.0	707.0	1661.0	778.0	5561.0	311.0	483.0	0.0	33.0	0.0	0.0	0.0	84.0	45.0	556.0	0.0	861.0	0.0	1030.0	0.0	229.0	0.0	411.0	0.0	484.0	16.0	376.0	0.0	4770.0	19.0	258.0	263.0	9005.0	2006.0	7061.0	290.0	6597.0	0.0	2896.0	99.0	4831.0	0.0	3473.0	7.0	0.0	7034.0	0.0	5590.0	17.0	80.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	10.0	13.0	0.0	0.0	0.0	0.0	14.0	24.0	0.0	0.0	0.0	9.0	6.0	5.0	0.0	0.0	0.0	10.0	0.0	0.0	32.0	48.0	0.0	0.0	51.0	0.0	0.0	0.0	116.0	103.0
802e6e3ce7664274d151b4dc45afe6be	0.0	11.0	0.0	0.0	0.0	13.0	0.0	31.0	590.0	0.0	15.0	530.0	0.0	421.0	0.0	495.0	0.0	1666.0	20498.0	456.0	16243.0	472.0	28754.0	2219.0	2696.0	29.0	31.0	438.0	226.0	238.0	0.0	0.0	0.0	256.0	0.0	0.0	0.0	180.0	0.0	214.0	0.0	264.0	0.0	971.0	1179.0	1013.0	50.0	1876.0	0.0	0.0	409.0	0.0	303.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0
692b2d747fcf9623cb3f338a1e9d9d71	0.0	0.0	393.0	0.0	220.0	0.0	332.0	0.0	356.0	0.0	1240.0	354.0	0.0	126.0	0.0	10.0	0.0	0.0	806.0	13.0	45.0	18.0	77.0	0.0	12404.0	0.0	4143.0	0.0	10122.0	51.0	0.0	18.0	0.0	7851.0	0.0	0.0	707.0	630.0	172.0	1176.0	13.0	1771.0	0.0	0.0	0.0	0.0	42.0	232.0	0.0	0.0	12265.0	0.0	24484.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	6.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8e81355f5350620cb70cd8170badfa75	0.0	188.0	441.0	0.0	981.0	9.0	226.0	5069.0	1174.0	9093.0	1369.0	1172.0	0.0	250.0	16.0	416.0	0.0	333.0	1318.0	176.0	2004.0	17.0	1043.0	0.0	673.0	121.0	0.0	123.0	0.0	104.0	0.0	14.0	4.0	188.0	0.0	7.0	131.0	23.0	587.0	14.0	246.0	0.0	39.0	3250.0	0.0	5800.0	49.0	2775.0	37590.0	108.0	263.0	268.0	150.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	12.0	0.0	6.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	27.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	161.0	6.0	8.0	24.0
25d4d67edbbdb344862285fe8bd7fdfa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13185.0	0.0	0.0	0.0	15068.0	0.0	6248.0	0.0	4908.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20445.0	0.0	15701.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50a846dceb357c3048607c71508142a1	0.0	28.0	2551.0	93.0	426.0	6795.0	3176.0	0.0	319.0	646.0	1236.0	1747.0	8.0	28.0	42.0	14.0	2117.0	166.0	81.0	0.0	220.0	3528.0	558.0	2205.0	0.0	0.0	15.0	1939.0	35.0	6741.0	697.0	3896.0	5709.0	6719.0	45.0	8405.0	137.0	67.0	1211.0	367.0	0.0	550.0	0.0	0.0	123.0	0.0	0.0	0.0	120.0	204.0	2004.0	3946.0	329.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	30.0	21.0	548.0	742.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
